Date,Date,DateTime,CH1,CH2
10/4/2022,3:27 PM,10/4/2022 15:27,0.724901686,0.10484208
10/4/2022,3:28 PM,10/4/2022 15:28,0.722932202,0.103529089
10/4/2022,3:29 PM,10/4/2022 15:29,0.71932148,0.101559603
10/4/2022,3:30 PM,10/4/2022 15:30,0.714069522,0.098605374
10/4/2022,3:31 PM,10/4/2022 15:31,0.710130553,0.097620631
10/4/2022,3:32 PM,10/4/2022 15:32,0.70914581,0.099261869
10/4/2022,3:33 PM,10/4/2022 15:33,0.705206841,0.095979392
10/4/2022,3:34 PM,10/4/2022 15:34,0.701267872,0.094009906
10/4/2022,3:35 PM,10/4/2022 15:35,0.702252615,0.094994649
10/4/2022,3:36 PM,10/4/2022 15:36,0.701267872,0.095651145
10/4/2022,3:37 PM,10/4/2022 15:37,0.696672408,0.089742687
10/4/2022,3:38 PM,10/4/2022 15:38,0.69897014,0.095979392
10/4/2022,3:39 PM,10/4/2022 15:39,0.70159612,0.096964135
10/4/2022,3:40 PM,10/4/2022 15:40,0.692733439,0.094994649
10/4/2022,3:41 PM,10/4/2022 15:41,0.687481481,0.09072743
10/4/2022,3:42 PM,10/4/2022 15:42,0.67993179,0.089414439
10/4/2022,3:43 PM,10/4/2022 15:43,0.675008078,0.089414439
10/4/2022,3:44 PM,10/4/2022 15:44,0.670412614,0.092696916
10/4/2022,3:45 PM,10/4/2022 15:45,0.662862923,0.093025163
10/4/2022,3:46 PM,10/4/2022 15:46,0.653343747,0.086788457
10/4/2022,3:47 PM,10/4/2022 15:47,0.643168077,0.087116705
10/4/2022,3:48 PM,10/4/2022 15:48,0.633320653,0.089742687
10/4/2022,3:49 PM,10/4/2022 15:49,0.62347323,0.09072743
10/4/2022,3:50 PM,10/4/2022 15:50,0.612312816,0.088757943
10/4/2022,3:51 PM,10/4/2022 15:51,0.610343331,0.088757943
10/4/2022,3:52 PM,10/4/2022 15:52,0.613954053,0.094338154
10/4/2022,3:53 PM,10/4/2022 15:53,0.61953426,0.101559603
10/4/2022,3:54 PM,10/4/2022 15:54,0.62084725,0.10057486
10/4/2022,3:55 PM,10/4/2022 15:55,0.616251786,0.097292383
10/4/2022,3:56 PM,10/4/2022 15:56,0.614282301,0.09204042
10/4/2022,3:57 PM,10/4/2022 15:57,0.611656321,0.090399182
10/4/2022,3:58 PM,10/4/2022 15:58,0.609030342,0.090070934
10/4/2022,3:59 PM,10/4/2022 15:59,0.614938796,0.09072743
10/4/2022,4:00 PM,10/4/2022 16:00,0.423898752,0.095651145
10/4/2022,4:01 PM,10/4/2022 16:01,0.616908281,0.098933621
10/4/2022,4:02 PM,10/4/2022 16:02,0.610671579,0.095651145
10/4/2022,4:03 PM,10/4/2022 16:03,0.610999826,0.094994649
10/4/2022,4:04 PM,10/4/2022 16:04,0.589007246,0.085147219
10/4/2022,4:05 PM,10/4/2022 16:05,0.523029502,0.088101448
10/4/2022,4:06 PM,10/4/2022 16:06,0.599182918,0.084162476
10/4/2022,4:07 PM,10/4/2022 16:07,0.585068277,0.078910513
10/4/2022,4:08 PM,10/4/2022 16:08,0.545022084,0.079895256
10/4/2022,4:09 PM,10/4/2022 16:09,0.57161013,0.085147219
10/4/2022,4:10 PM,10/4/2022 16:10,0.57948807,0.078910513
10/4/2022,4:11 PM,10/4/2022 16:11,0.574892605,0.083834228
10/4/2022,4:12 PM,10/4/2022 16:12,0.57423611,0.080223504
10/4/2022,4:13 PM,10/4/2022 16:13,0.56898415,0.075956284
10/4/2022,4:14 PM,10/4/2022 16:14,0.571281883,0.07792577
10/4/2022,4:15 PM,10/4/2022 16:15,0.573579615,0.078910513
10/4/2022,4:16 PM,10/4/2022 16:16,0.573579615,0.07792577
10/4/2022,4:17 PM,10/4/2022 16:17,0.569640645,0.076612779
10/4/2022,4:18 PM,10/4/2022 16:18,0.569312398,0.077597522
10/4/2022,4:19 PM,10/4/2022 16:19,0.568327655,0.077597522
10/4/2022,4:20 PM,10/4/2022 16:20,0.563732191,0.076941027
10/4/2022,4:21 PM,10/4/2022 16:21,0.563732191,0.080879999
10/4/2022,4:22 PM,10/4/2022 16:22,0.564716933,0.084162476
10/4/2022,4:23 PM,10/4/2022 16:23,0.554541261,0.076284532
10/4/2022,4:24 PM,10/4/2022 16:24,0.550602291,0.076284532
10/4/2022,4:25 PM,10/4/2022 16:25,0.545022084,0.073986798
10/4/2022,4:26 PM,10/4/2022 16:26,0.545350332,0.075956284
10/4/2022,4:27 PM,10/4/2022 16:27,0.546991569,0.080879999
10/4/2022,4:28 PM,10/4/2022 16:28,0.548632807,0.083834228
10/4/2022,4:29 PM,10/4/2022 16:29,0.546006827,0.085147219
10/4/2022,4:30 PM,10/4/2022 16:30,0.546663322,0.08646021
10/4/2022,4:31 PM,10/4/2022 16:31,0.544037342,0.089086191
10/4/2022,4:32 PM,10/4/2022 16:32,0.535502907,0.083177733
10/4/2022,4:33 PM,10/4/2022 16:33,0.530907442,0.083505981
10/4/2022,4:34 PM,10/4/2022 16:34,0.51941878,0.079238761
10/4/2022,4:35 PM,10/4/2022 16:35,0.518434037,0.075628036
10/4/2022,4:36 PM,10/4/2022 16:36,0.514495067,0.072673807
10/4/2022,4:37 PM,10/4/2022 16:37,0.507930117,0.072345559
10/4/2022,4:38 PM,10/4/2022 16:38,0.505304137,0.071360816
10/4/2022,4:39 PM,10/4/2022 16:39,0.507930117,0.074971541
10/4/2022,4:40 PM,10/4/2022 16:40,0.506617127,0.076284532
10/4/2022,4:41 PM,10/4/2022 16:41,0.501365167,0.076284532
10/4/2022,4:42 PM,10/4/2022 16:42,0.496441454,0.076612779
10/4/2022,4:43 PM,10/4/2022 16:43,0.496769702,0.077269275
10/4/2022,4:44 PM,10/4/2022 16:44,0.493815474,0.07792577
10/4/2022,4:45 PM,10/4/2022 16:45,0.489876504,0.077597522
10/4/2022,4:46 PM,10/4/2022 16:46,0.484296297,0.074643293
